filename,extension,size_mb,is_scanned,strategy,pii_fields
7db6cb6a-805d-4acf-9c82-10d3e17028513ANEXO~1.DOC.pdf,.pdf,0.4070310592651367,False,PyMuPDF,0
e25ca71b-bdab-4af9-9863-b3ac54d93669J01_LPRP4-3_fd.pdf,.pdf,0.3152456283569336,False,PyMuPDF,0
8b0217a6-9343-41ab-a6dc-d86965b09a1eLRE403 Just registro_25-03-2024.pdf,.pdf,1.021871566772461,False,PyMuPDF,0
15fed9b9-b357-45f2-83b6-236b85ea08b42. MTD.pdf,.pdf,5.619994163513184,False,PyMuPDF,0
3f756f11-3447-428b-96dc-c640365cd0cc1.2 Acuerdos IBI.pdf,.pdf,0.19710731506347656,False,PyMuPDF,0
95ef2c44-8b0c-4a6e-a810-5a0e775186511. LRE076 Solicitud_coope_fase 2.pdf,.pdf,1.7267999649047852,False,PyMuPDF,0
69fe8d8b-6d84-4e6e-9144-ac525cb86d5fAU057 CM T 59 0 5_V1.pdf,.pdf,0.2522916793823242,False,PyMuPDF,0
81d63ebb-ed35-4c19-b7c1-03578076ce3aAU044 MC PN  3 3D_V1.pdf,.pdf,0.2863903045654297,False,PyMuPDF,0
f9c97677-d22d-4237-b930-86601a0c66863. LRE212 Anexo ESQUEMA IRVE.pdf,.pdf,1.205214500427246,False,PyMuPDF,0
353bb983-f057-4242-a290-b7b9195b7590J01. Informe justificativo-205.pdf,.pdf,0.19039440155029297,False,PyMuPDF,0
856a6388-8385-4648-9e93-450efb90047e5.1 Just registro.pdf,.pdf,0.2695484161376953,False,PyMuPDF,0
51a6f083-e278-483a-8c3f-eca1cb0e4216AU044 17 3C_CEE2 FD.pdf,.pdf,0.3342885971069336,False,PyMuPDF,0
753b1b0c-9ccb-4204-ba93-86eef4fecd45AU044 MC PS 17 3C_V2.pdf,.pdf,0.33385562896728516,False,PyMuPDF,0
a3894186-5429-4944-8cc0-0ceb00f0e3182. Declaración responsable.pdf,.pdf,0.28952980041503906,False,PyMuPDF,0
d3d94c5b-cb91-4d73-8f28-b8fda8ead4bf8.2. Solicitud Subvención.pdf,.pdf,6.8223066329956055,False,PyMuPDF,0
8188620e-401e-4d28-b672-77376204848d5. LRE012 Solicitud IRVE.pdf,.pdf,1.003615379333496,False,PyMuPDF,0
3f6deddd-07a2-4e51-8a05-3b1f77d2cf58J01_LPR-5_fd.pdf,.pdf,0.2641286849975586,False,PyMuPDF,0
b3d9530c-9159-42f4-881a-62e77fdb3d6eJ01. Informe justificativo-167.pdf,.pdf,0.1904897689819336,False,PyMuPDF,0
